@relation Jonte_No_Norm

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,right,left,down}

@data
149,18,80,775,-215,-1035,-89,32,-70,-478,739,-54,-170,65,-12,-505,238,-554,-132,-25,-29,147,-385,143,-16,-104,-49,35,-155,430,-12,-66,-17,127,-160,578,7,-26,-10,-22,55,632,1,48,-5,114,-298,409,29,-1,-5,-136,209,387,63,42,58,-26,177,-356,92,29,24,27,-1289,9,156,-90,-6,-192,1415,-411,-56,-56,26,-549,-1198,883,141,59,-21,-199,198,66,0,-69,-7,68,-243,1,-29,27,47,173,151,-399,-31,15,6,359,329,-348,-42,30,-4,179,146,-177,-27,28,-14,19,82,-225,-60,14,15,-15,-205,140,10,-1,-9,127,327,-93,-12,-5,-4,-95,-150,63,7,11,8,8,39,45,24,-10,-6,17,37,-29,-13,3,4,13,-91,-13,4,-7,-7,1,-35,14,6,8,1,-56,97,28,-19,-11,3,67,-145,-2,24,5,-6,-51,289,0,-16,4,8,-15,-287,15,up
275,-107,72,752,51,-218,7,-3,17,177,-415,-290,-41,75,20,243,399,-446,-190,95,-15,-227,785,-443,-153,46,-49,-152,-219,-266,-111,-13,-74,-145,443,-56,-104,-52,-63,-329,-565,607,19,-70,-49,42,-92,441,-51,-9,-15,-131,-64,593,71,26,42,-59,-391,960,114,15,7,-69,404,166,42,-12,48,-155,370,-259,116,17,18,-91,-452,7,17,-81,7,-376,-564,524,80,42,40,-225,-855,-26,98,-69,-26,188,1344,-229,47,4,16,-288,-876,-2,-69,18,18,438,1165,-517,-21,49,-36,293,-402,-366,-79,21,5,4,-24,-295,-55,17,7,112,222,-113,-8,5,-16,-15,-87,-27,-20,-7,9,-4,-7,104,16,-5,-3,32,-42,39,11,3,-2,-73,-24,54,-22,-7,4,20,-44,-26,39,8,-2,-58,217,-17,-34,-12,-3,133,-301,41,18,6,2,-101,168,33,-6,-1,7,87,-103,14,up
136,-100,55,407,-841,265,140,-46,-3,528,672,-651,0,91,41,-43,80,-837,-107,68,30,159,921,-376,-203,47,-71,-512,-309,362,-83,53,-35,-567,930,-387,-176,-7,-40,-50,-484,-86,-16,-81,-46,469,-603,-406,-73,-75,-55,18,-118,1499,80,4,-5,-83,-478,959,34,28,27,-105,291,589,87,4,22,110,-212,0,69,55,45,-276,814,-381,72,-31,-10,-232,-137,264,14,-109,-13,-577,-1379,654,116,74,108,-474,-924,55,120,-22,5,55,1580,-247,66,-96,-25,172,-529,-165,-81,73,48,323,372,-491,-42,-6,-42,490,447,-714,-127,88,7,-149,-176,-213,-14,3,-6,377,333,-212,-71,13,-10,35,-88,268,45,-13,-12,-64,127,64,-20,-16,3,28,-400,140,29,-1,-1,-63,249,50,7,5,7,59,-245,-63,-20,-6,3,-37,235,26,20,9,-8,43,-38,35,-3,0,1,-64,-119,3,up
264,-123,71,1207,-1037,98,13,56,22,163,1803,-822,-221,76,6,-58,-742,38,-38,38,-30,-495,949,-322,-98,16,-45,-374,436,-459,-119,4,-62,-383,-372,-34,-71,-45,-35,16,-491,220,19,-66,-56,230,-321,-21,-31,-22,-28,-227,114,1085,60,7,42,-231,-273,663,15,98,20,13,144,167,52,-54,41,216,789,-253,2,13,28,-42,-1003,413,108,5,-19,-653,-415,750,77,-93,56,-544,-686,119,111,36,45,254,276,-87,134,-60,-35,-8,219,-455,-86,-2,41,166,167,-210,15,43,-16,681,853,-749,-144,79,-6,-1,-128,-461,-91,8,-17,35,-232,-83,-17,5,-9,156,143,224,20,-4,-1,-77,-61,13,-2,-11,-2,-109,-99,110,36,-5,8,45,18,-19,-21,-2,5,86,-6,72,27,4,-7,2,155,-38,-23,3,-1,12,-110,1,10,1,0,-21,34,-12,-8,1,-4,-10,42,4,up
100,-98,104,491,-1672,272,184,-99,123,862,-501,-493,0,77,1,1154,3194,-1231,-211,66,-142,-530,-223,91,-174,86,-102,-1423,-327,547,-113,106,-10,-655,487,-3,-68,-39,-35,121,349,64,-12,-89,-80,497,-607,141,63,-78,-5,-611,-542,718,98,-16,-6,-137,65,416,-47,31,16,-381,279,95,32,66,57,-47,-411,-14,-10,2,16,110,-747,330,80,9,47,30,869,-394,32,39,24,-411,-437,533,173,-159,-12,-224,558,475,93,-10,83,-168,-1068,459,-26,12,-25,418,450,-1053,73,-28,-40,114,329,-408,-159,65,23,469,-2,-321,-44,60,-22,181,20,-447,-81,15,-13,126,-67,-17,7,20,-13,134,591,74,-17,-22,-16,-1,-862,106,8,-2,3,-173,195,169,32,5,1,-16,11,-23,-3,-5,10,-51,-107,36,20,-6,6,124,211,-108,-18,1,-8,-52,-172,-29,12,-6,-4,64,31,-61,up
130,-102,50,354,-548,157,130,-41,37,326,958,-670,0,50,-2,-204,-646,-354,-46,41,38,75,1952,-666,-232,141,-75,-161,-1607,183,-186,17,-100,-452,346,253,-83,-19,13,-77,67,416,14,-59,-36,60,-49,184,16,-75,-27,309,-225,-278,25,-19,16,-259,-382,1227,29,-13,-6,112,157,159,-4,103,27,-133,28,128,61,-9,-7,48,514,77,21,37,39,-130,-880,138,64,-52,2,20,872,516,160,-5,28,-492,-1195,600,65,-94,-19,-55,147,-495,96,-7,35,55,314,-62,-114,38,-5,384,79,-671,-2,26,-13,36,505,-659,-125,43,1,150,-680,-221,-31,35,-16,-22,487,-79,-28,-1,0,-5,-436,128,8,0,10,-24,148,86,38,-2,-6,63,214,-65,-25,-16,4,3,-284,81,19,4,-4,3,217,8,-9,-6,-3,-25,-121,-68,-10,3,7,0,39,82,30,6,2,15,-10,-68,up
151,-82,39,650,108,-1551,-95,23,-2,-150,458,-30,-154,55,-40,-732,-699,320,-109,57,-2,-67,556,86,-92,-42,-23,186,269,75,-17,-23,-45,353,-728,368,55,-105,-17,-237,113,958,68,-15,27,78,8,411,17,45,-14,-123,-31,-53,-27,46,46,111,157,197,7,11,-18,98,-767,314,152,12,27,-80,1528,-613,-78,30,0,-50,-1249,452,143,-128,-9,-242,511,66,-16,85,-3,-845,-691,1020,71,-54,76,-24,-526,-550,114,-56,-5,630,1134,76,22,65,-14,96,-328,-866,-162,19,1,163,681,-618,-18,53,-5,88,-344,-449,-98,-3,-8,137,-42,101,30,20,-13,5,46,3,-29,-11,0,-87,-445,266,58,-6,-8,8,508,-70,-33,-16,5,45,-340,185,23,13,4,-9,196,-53,-3,-10,3,-7,-98,-18,-6,5,-4,40,178,16,5,3,-8,-43,-99,12,7,4,10,-54,-76,-1,up
263,-164,8,948,1080,-1113,0,41,2,-70,-34,-897,-131,57,-8,-96,25,-57,-162,65,-19,-585,-639,827,-56,62,-11,-596,123,419,-120,2,8,-464,-112,322,-5,-50,-6,356,223,-184,-54,-53,-24,998,-211,-886,-14,-50,-44,-141,-286,1249,60,23,-4,-120,-231,807,-20,-45,-24,172,-135,69,55,135,82,13,448,-17,44,-60,-72,99,-589,-188,26,1,15,-210,872,163,22,51,58,-774,-905,497,172,-108,19,-163,-961,861,64,-14,20,-500,211,256,80,-29,29,307,-27,-506,39,9,2,427,1301,-446,-109,51,16,227,-631,-670,-104,53,-24,277,959,-541,-79,44,-14,-73,-798,-81,15,21,0,66,721,16,-16,-30,-17,46,-493,65,31,1,-2,-156,182,71,5,-18,17,132,-53,-81,-16,7,-6,-43,24,22,7,-2,-1,-27,21,32,-11,8,6,20,-37,18,22,-4,-6,-20,72,-64,up
131,-81,49,366,-553,-85,124,-79,-19,571,282,-652,0,32,41,18,392,-724,-132,88,35,44,-279,125,-137,55,-38,-312,766,224,-135,68,-47,-380,-871,171,-46,-22,-35,-407,1180,60,-63,-42,-21,154,-646,-28,24,-72,-18,197,329,-96,-56,-25,-43,22,-283,1050,34,11,-3,6,-727,308,97,21,16,33,264,217,45,-43,4,-89,189,8,-8,69,55,-293,-772,157,148,-138,-17,107,1542,149,-21,112,12,-421,-1172,-152,-15,-26,23,-132,-83,19,30,17,-19,-161,385,100,-35,-37,13,70,-867,57,156,57,42,-7,650,-294,-44,-74,-28,274,-334,133,25,75,11,26,679,-367,-73,-18,-4,254,-334,-328,-50,52,0,-15,354,-131,-21,1,0,67,-283,-9,-10,-2,-2,-18,281,59,7,-9,-8,12,-258,45,16,9,6,12,179,44,-4,4,2,-9,-114,5,1,-10,0,-10,73,-27,up
126,-101,19,305,-823,-18,141,-68,22,594,1169,-909,0,59,7,-34,350,-904,-142,102,37,-323,193,-23,-202,0,-56,-327,-541,738,-40,121,4,-457,-78,-135,-82,-19,-52,67,90,118,-54,-82,-32,474,-198,-669,-60,-59,-59,203,-11,775,71,-38,-5,-220,-380,1028,21,-21,11,-43,229,389,33,56,28,-75,-219,181,80,11,1,-65,1244,-25,-65,-21,42,-14,-815,-15,126,74,-10,-14,167,338,33,-105,-24,-549,-1275,973,-25,28,63,-221,-499,-121,276,-66,-16,252,1064,-248,-53,60,61,-260,-988,53,43,-29,-26,167,1084,-814,-101,15,22,323,-119,-404,-36,53,-15,307,751,-392,-99,40,-10,-93,-446,-180,-10,4,0,31,98,-9,-23,-2,-9,19,-244,176,32,-6,6,-108,-188,25,-1,-7,7,125,524,125,13,8,-6,-61,-313,-42,-4,-7,0,-3,330,3,-3,8,3,40,-247,-29,up
