@relation PatrikTraing

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,left,right,down}

@data
-154,-8,-257,1223,490,58,122,-18,98,551,-103,6,-14,14,93,395,347,-177,26,14,95,219,-397,117,43,54,37,-191,512,-127,-42,30,96,-159,-339,323,-63,33,119,-33,-286,172,33,93,12,-500,12,47,-28,1,56,-549,336,-137,-48,57,33,-520,-582,-107,13,-19,26,-600,-278,-212,26,35,25,-508,181,-100,41,-57,0,-772,-303,-53,29,-17,-25,-841,-90,91,-2,-28,-82,-936,465,218,20,-71,-106,-454,143,211,-1,6,-42,-348,-75,122,-57,-126,-94,445,-195,214,-5,16,-172,418,-671,-229,62,33,-141,279,-33,-34,-49,18,104,1144,193,-103,-13,-9,14,-169,-13,-91,89,-41,-42,371,757,171,-102,15,-12,411,-334,48,57,4,20,706,317,-221,-27,12,88,273,-500,-50,47,-2,54,-100,770,33,-43,5,31,-176,-456,-23,41,5,5,-20,283,41,-42,-2,-3,-205,-211,-25,up
-106,-37,-291,1285,895,78,32,28,-23,533,-1000,-438,108,-40,100,1205,1462,73,-54,-28,122,373,-704,-177,94,58,143,-34,793,-4,-46,37,84,-331,-897,121,9,47,62,-531,930,247,-68,38,75,-191,-1330,-18,31,49,23,-350,-134,-144,3,-1,50,-104,-50,33,-53,57,82,-405,-537,189,43,-9,22,-1139,-149,-256,6,27,4,-999,524,147,17,-28,-29,-961,-3,83,-3,-50,-71,-805,-128,-43,19,-40,-79,-514,-57,243,70,-46,-109,-353,172,339,-120,-37,-56,344,-74,202,-51,-44,-114,261,-639,-274,159,0,-126,215,326,-133,-94,73,-34,496,-600,19,0,-55,36,518,382,-176,24,-45,-53,4,266,-42,-1,14,25,799,692,78,1,31,34,-137,-513,-73,36,-19,6,398,364,20,-30,-35,7,263,103,53,-20,24,27,247,-291,-210,48,3,46,95,36,24,-31,-7,2,-83,444,96,up
1,46,-158,-314,266,195,-77,-91,-121,1193,646,-262,26,-2,0,942,-302,-295,5,-23,45,1097,586,-337,12,-19,134,564,-995,-194,116,0,160,264,474,188,-28,93,102,-229,-362,180,-6,48,98,-340,121,315,-104,87,91,-768,-717,114,64,75,35,-789,479,-10,-41,7,19,-484,-550,-71,29,-65,39,-252,36,256,-39,75,28,-683,-528,52,-22,1,11,-1068,-248,-292,42,-22,-52,-1114,-128,-272,65,-29,-40,-648,411,-2,-39,-43,-115,-961,838,427,53,-49,-141,-8,62,235,-136,-32,-103,882,-1286,-116,80,-20,-31,22,200,13,17,-15,-67,6,51,59,-15,-26,-53,464,240,-110,-31,27,-36,571,312,-52,20,-36,33,226,-231,28,18,4,-9,455,457,33,-29,20,5,427,-386,-1,-3,-24,29,569,400,-89,34,5,47,86,-289,14,-30,0,36,230,301,-117,38,9,38,-209,-236,44,up
-33,44,-162,-72,127,99,-39,-70,-73,871,359,-160,28,64,-68,333,-119,90,-39,-95,11,1618,1287,-353,29,-28,169,605,-1137,-523,115,48,144,-64,828,267,-59,51,85,-368,-162,65,12,39,43,-495,5,59,-15,43,74,-170,-229,253,-46,48,58,-28,-532,42,15,69,48,-408,-404,-261,4,-16,66,-470,-328,79,23,27,51,-560,14,389,-27,30,29,-1247,63,-173,26,-25,-2,-1007,-356,40,26,-56,-57,-851,448,200,14,-35,-52,-729,-677,210,-4,-96,-66,-870,92,60,-16,-49,-216,-133,1279,538,-140,42,-146,736,-2434,-750,142,28,-15,568,635,-320,-36,-78,-4,63,382,96,68,0,-112,103,528,-200,-6,-1,-58,655,169,373,-44,6,19,955,264,77,37,21,81,69,231,-13,-56,-17,32,680,-9,34,31,2,69,8,13,-66,-20,-8,16,194,-196,-40,16,11,18,-37,180,-60,up
-82,-50,-285,1157,839,82,-50,33,0,1262,-830,-543,162,-17,108,342,940,-95,-79,-38,61,656,-675,-288,124,18,139,183,470,186,-56,52,111,-115,-424,265,32,66,99,-444,270,372,-92,36,90,-315,-59,18,2,47,48,-753,-521,-67,-3,70,45,-673,-408,-131,14,-6,31,-498,154,202,-10,20,15,-760,-16,101,3,8,10,-919,-251,-12,46,-25,0,-707,-563,-113,-2,-38,-53,-1073,218,128,24,-61,-97,-784,137,269,2,-39,-139,-278,232,381,-99,-53,-128,675,-94,107,-54,-5,-42,139,-1200,-600,133,-13,-93,-412,539,-179,-5,37,-76,626,-77,11,-83,-59,-38,732,438,-24,77,23,2,150,359,-112,-6,16,9,660,-68,23,-11,-28,46,525,449,88,4,10,57,363,-337,-167,27,-16,51,169,438,108,-26,8,17,53,-242,-2,2,-14,18,-63,159,-60,21,12,-4,-36,-45,16,up
-40,33,-154,22,435,177,-25,-35,-117,1000,166,-97,-55,-11,-5,1043,-28,-353,96,26,94,449,492,-119,-20,-72,57,445,-251,-231,47,32,82,350,133,15,-14,44,120,-75,-503,104,30,30,59,-298,744,168,-47,60,84,-112,-232,260,-7,2,39,-430,-267,120,-52,91,58,-155,-302,-139,45,6,47,-390,-238,-78,-46,-13,62,-309,-645,-181,10,44,107,-724,-276,30,65,-6,-5,-1557,8,-25,28,-38,-28,-1113,278,321,-1,-59,-84,-1129,-34,379,-33,-42,-112,-750,455,392,-11,-36,-132,-393,-449,111,-68,-50,-186,672,-331,-131,4,-9,3,704,-843,-525,52,37,-133,-333,367,-125,16,-1,-11,808,51,-153,-11,-29,-1,251,503,12,17,-36,-19,808,897,67,-1,51,-6,148,-499,-37,-1,-35,28,866,480,-58,1,12,77,390,-222,144,23,4,66,92,195,-79,-25,-1,29,-55,-363,53,up
-5,-7,-160,26,671,12,-10,40,-130,481,-231,79,-18,-60,-8,1453,352,-190,3,18,46,497,8,-161,84,-35,112,564,536,-90,-54,19,86,324,-90,-87,52,19,121,-20,-634,175,-10,40,118,-148,616,181,-32,48,37,-600,-232,216,-48,64,91,-184,-68,120,-1,53,69,-550,-681,-116,-25,12,19,-779,-438,-275,8,39,54,-758,139,41,18,-32,2,-1013,-143,60,10,-4,-4,-847,-73,-34,28,-18,-55,-1052,159,76,9,-60,-75,-877,-71,27,26,-19,-100,-651,505,476,-66,-72,-119,508,-655,123,-47,-57,-120,321,-837,-405,98,12,-58,427,163,-225,-20,38,-56,-36,69,-112,-22,-41,-69,805,198,-21,37,-21,4,264,834,59,-10,29,-2,513,-268,-80,42,-4,15,549,608,187,-30,-14,78,519,164,123,-16,-8,60,161,-249,-114,0,17,27,-133,-148,19,12,-18,5,111,-14,-35,up
14,55,-151,-295,363,163,-56,-66,-103,1286,199,-52,-38,16,-20,638,56,-291,44,-23,54,837,-19,-58,-9,-13,13,326,723,-262,59,3,106,583,-643,-148,22,16,157,169,437,191,-11,60,58,-333,-344,314,-22,54,92,-339,775,143,-51,62,82,-277,-784,83,3,18,39,-596,-297,-136,-8,54,55,-392,-460,-78,-21,-16,78,-433,-151,237,2,36,41,-993,101,-157,15,-12,0,-1238,-575,-182,54,-25,-41,-1023,216,36,-9,-27,-54,-969,115,230,22,-77,-134,-735,50,166,-74,-74,-116,31,-37,255,-6,0,-126,571,-713,-276,50,-20,-90,-182,-303,-320,35,34,-51,384,-74,-128,-17,-54,-37,234,279,47,-13,-11,-48,886,1003,162,35,26,-32,511,5,79,-22,-2,71,598,302,-33,-8,-2,73,319,-263,10,33,-20,25,335,111,10,-28,24,23,-53,118,52,12,-9,17,150,-153,-118,up
-25,15,-170,-36,380,219,-31,-1,-59,1112,34,-198,-9,-65,-21,814,-341,-171,92,37,56,671,996,60,-49,-13,97,359,-223,-74,16,25,74,144,17,-132,26,13,119,32,-133,-28,-13,44,69,-98,-86,285,-19,89,69,-567,523,284,-23,10,71,-386,-294,-10,-42,66,83,-379,-879,-117,16,34,28,-766,-178,-257,-22,18,15,-697,-430,-48,38,-2,-5,-812,236,70,-1,-30,6,-759,22,72,8,-10,-47,-1071,-64,42,51,-57,-75,-729,507,144,-37,-39,-97,-250,123,501,8,-118,-137,474,-414,97,-54,33,-126,70,-886,-163,34,14,9,874,-329,-407,-13,-17,2,-246,22,-255,101,-79,-59,-208,1109,-124,-52,15,-32,563,87,217,-49,-1,-18,299,154,11,60,-38,32,402,-593,-92,-22,33,-21,570,962,132,-6,7,54,540,-506,-115,7,-12,47,119,407,48,-6,5,32,163,-394,19,up
2,51,-164,-400,29,194,-12,-90,-85,1284,604,-180,-21,37,2,734,-310,-144,42,-10,38,646,423,-50,23,-38,16,575,548,-145,13,-1,122,479,-858,20,55,34,193,9,738,163,-59,56,63,-372,252,142,-24,90,74,-318,-361,394,-57,25,54,-566,80,-38,-15,123,82,-421,-1099,-147,-5,-26,24,-773,106,-70,-11,41,67,-702,-386,17,38,-17,9,-1062,-75,-331,22,-21,-24,-979,-155,-19,5,-31,-51,-1040,284,277,41,-56,-102,-806,116,256,-35,-66,-187,-62,374,217,-82,-62,-85,808,-1457,-177,70,12,-62,110,-41,-91,15,53,-93,111,493,-178,-50,-4,-20,776,-203,-132,1,-84,-74,118,88,-147,133,64,100,421,775,-198,-59,-35,6,107,451,211,10,-31,43,542,375,162,-51,31,10,206,-507,-17,6,-6,54,16,-379,-16,30,-17,-26,72,469,128,-8,7,13,67,-210,-8,up
