@relation train_data_new_processed

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,down,right,left}

@data
-9,-4,-8,-15,-9,-3,18,-5,-8,-12,-11,-7,17,-12,-2,-11,-10,-11,22,-16,3,-10,-9,-17,15,-11,-3,-9,-14,-19,7,-18,-3,-7,-14,-22,-3,-19,-3,-7,-13,-24,-9,-13,-9,-7,-18,-24,-24,-8,-14,-8,-15,-18,-25,-7,-15,-9,-16,-17,-24,-1,-12,-9,-10,-12,-20,0,-19,-10,-16,-13,-29,-2,-12,-10,-4,-8,-15,-2,-17,-11,-13,-9,-16,-8,-8,-12,-4,-6,-6,-6,-15,-13,-12,-8,-11,-7,-5,-13,-6,-5,1,-7,-10,-12,-13,-8,-8,-8,-5,-12,-9,-8,-4,-6,-9,-11,-12,-9,-8,-8,-7,-11,-10,-10,-6,-8,-10,-11,-11,-11,-11,-9,-8,-11,-10,-10,-9,-9,-9,-11,-11,-11,-10,-9,-8,-11,-10,-10,-9,-9,-10,-11,-11,-10,-12,-9,-9,-11,-9,-10,3,-11,-5,-13,-7,-4,16,-16,1,-12,-6,-8,12,-17,-3,-11,-14,-13,up
12,-17,7,-10,4,-18,12,-4,-1,-12,-13,-24,-9,6,-10,-10,-12,-19,-24,7,-11,-10,-14,-12,-17,-2,-16,-11,-12,-15,-32,3,-13,-11,-14,-11,-28,-2,-18,-12,-10,-6,-21,-10,-10,-13,-9,-5,-4,-13,-10,-13,-8,-8,-8,-7,-3,-12,-10,-4,3,-9,-10,-12,-11,-8,-5,-7,-5,-11,-10,-9,-4,-7,-8,-11,-11,-10,-8,-8,-8,-11,-11,-11,-9,-9,-9,-11,-11,-11,-9,-9,-9,-11,-11,-11,-9,-9,-9,-11,-11,-11,-9,-9,-9,-11,-11,-11,-11,-9,-9,-11,-11,-10,-10,-9,-9,-11,-11,-10,-11,-9,-9,-11,-11,-9,-12,-9,-11,-11,-12,-9,-14,-10,-10,-12,-10,-8,-14,-10,-14,-13,-14,-6,-12,-11,-8,-14,-7,-4,-2,-9,-9,-14,-7,-5,4,-11,-4,-13,-9,-7,3,-17,-5,-9,-12,-16,8,-18,2,-7,-5,-20,10,-14,-5,-7,-19,-24,up
8,-8,-22,-12,-13,-7,1,-9,-12,-12,-11,-9,-2,-8,-11,-12,-11,-9,-3,-8,-9,-11,-11,-10,-6,-8,-10,-11,-11,-10,-8,-8,-7,-11,-10,-10,-8,-8,-8,-11,-11,-11,-9,-9,-9,-11,-10,-10,-10,-9,-9,-11,-11,-10,-10,-9,-9,-11,-11,-10,-11,-9,-10,-11,-10,-9,-15,-10,-11,-12,-11,-8,-15,-11,-10,-12,-10,-6,-12,-11,-11,-13,-11,-5,-15,-10,-9,-14,-10,-4,1,-8,-6,-14,-6,-5,16,-11,0,-11,-8,-11,26,-14,-1,-9,-9,-16,4,-14,-5,-8,-15,-20,10,-17,-3,-6,-13,-23,-3,-17,-7,-6,-16,-24,-19,-10,-13,-8,-17,-20,-33,-2,-15,-9,-15,-12,-28,-1,-11,-9,-7,-13,-21,0,-18,-12,-9,-11,-26,0,-14,-11,-11,-8,-20,-6,-13,-12,-8,-6,3,-13,-1,-14,-7,-4,25,-18,-2,-13,-10,-6,1,-16,-1,-11,-10,-9,up
17,-12,-3,-10,1,-13,4,-6,-6,-12,-17,-19,-13,-3,-8,-11,-14,-17,-16,-2,-14,-11,-15,-13,-24,-2,-8,-10,-11,-12,-19,0,-19,-11,-17,-13,-33,-2,-11,-11,-7,-7,-14,-7,-12,-12,-8,-6,-12,-7,-6,-11,-9,-8,-2,-7,-13,-12,-11,-8,-12,-8,-3,-12,-8,-6,1,-7,-11,-11,-12,-9,-9,-5,-8,-11,-12,-9,-8,-7,-10,-11,-10,-10,-7,-8,-8,-11,-11,-10,-8,-8,-9,-11,-10,-10,-8,-9,-8,-11,-11,-11,-9,-8,-10,-11,-11,-11,-9,-9,-9,-11,-10,-11,-9,-8,-10,-11,-11,-11,-10,-9,-8,-11,-10,-10,-8,-8,-9,-11,-11,-11,-10,-9,-9,-11,-10,-10,-14,-9,-9,-11,-11,-9,-18,-9,-11,-12,-9,-7,-14,-11,-11,-12,-10,-5,-17,-9,-10,-13,-10,-3,-9,-9,-8,-14,-9,-1,11,-9,-4,-13,-8,-4,29,-15,1,-10,-6,-10,up
17,-37,-47,-19,-28,3,6,-26,-13,-17,-12,0,11,-19,-13,-15,-14,-3,3,-15,-10,-14,-13,-4,3,-13,-12,-13,-13,-5,-3,-7,-3,-12,-10,-8,-3,-6,-9,-11,-12,-9,-9,-7,-8,-11,-11,-10,-7,-8,-10,-11,-11,-10,-9,-8,-8,-11,-10,-11,-8,-9,-9,-11,-10,-11,-9,-9,-9,-11,-11,-11,-10,-9,-9,-11,-11,-10,-10,-9,-9,-11,-10,-10,-12,-9,-10,-11,-11,-9,-16,-10,-11,-12,-11,-7,-13,-12,-10,-13,-10,-6,-13,-11,-11,-13,-11,-5,-15,-9,-12,-14,-12,-4,-1,-9,-4,-14,-5,-3,22,-11,1,-11,-8,-13,16,-14,1,-9,-10,-17,2,-15,-2,-8,-13,-19,8,-18,0,-6,-11,-22,-2,-15,-8,-6,-18,-26,-23,-8,-11,-8,-15,-18,-23,2,-22,-9,-19,-12,-23,-2,-13,-11,-9,-10,-21,0,-15,-12,-10,-7,-21,-3,-13,-12,-10,-5,up
1,-2,-11,-11,-12,-11,-4,-4,-10,-11,-11,-11,-5,-6,-9,-11,-11,-11,-7,-7,-9,-11,-11,-11,-7,-7,-9,-11,-11,-11,-9,-9,-9,-11,-11,-11,-10,-10,-8,-11,-11,-11,-10,-9,-9,-11,-11,-10,-11,-9,-10,-11,-11,-10,-15,-8,-13,-11,-12,-9,-20,-10,-12,-13,-11,-6,-13,-11,-11,-14,-10,-4,-13,-10,-9,-15,-12,-3,-1,-9,-3,-14,-5,-3,21,-12,2,-11,-2,-11,21,-14,0,-9,-12,-18,3,-15,-3,-7,-16,-20,4,-17,-3,-5,-9,-23,-2,-15,-10,-6,-18,-26,-26,-9,-12,-9,-20,-18,-32,-1,-17,-9,-17,-9,-21,-4,-14,-10,-6,-13,-27,-1,-16,-11,-14,-9,-24,-5,-13,-12,-7,-5,-13,-10,-11,-11,-10,-6,-5,-10,-6,-12,-4,-11,-5,-6,-7,-12,-11,-6,6,-10,-6,-15,-3,0,5,-6,-5,-13,-10,-5,-2,-10,-6,-13,-8,-5,up
54,-31,5,-5,-10,-36,1,-21,-2,-7,-19,-32,-4,-18,-6,-7,-20,-25,-8,-16,-7,-8,-17,-23,-9,-12,-8,-8,-16,-21,-23,-4,-13,-9,-15,-16,-17,-1,-13,-8,-14,-10,-27,4,-19,-9,-12,-14,-29,-1,-12,-10,-5,-9,-16,-2,-17,-11,-9,-8,-20,-7,-10,-12,-11,-6,-13,-9,-11,-13,-7,-8,-2,-13,-4,-13,-8,-4,4,-7,-10,-12,-15,-8,-9,-8,-5,-11,-10,-8,-3,-7,-9,-11,-10,-10,-9,-7,-7,-11,-11,-11,-8,-8,-9,-11,-11,-11,-11,-9,-9,-11,-11,-11,-11,-9,-10,-11,-10,-10,-14,-8,-12,-11,-11,-9,-14,-11,-10,-12,-9,-7,-14,-10,-11,-13,-12,-6,-14,-12,-8,-13,-9,-5,-9,-11,-8,-13,-10,-4,3,-12,-3,-13,-7,-5,9,-10,-2,-11,-10,-10,22,-17,-2,-9,-8,-16,8,-13,-6,-8,-16,-22,1,-13,-5,-7,-14,-24,up
24,-5,1,-11,-1,-4,26,-11,4,-11,-5,-8,40,-18,5,-7,-1,-19,19,-15,-5,-7,-16,-25,0,-16,-4,-8,-13,-19,7,-18,-4,-8,-13,-23,-6,-15,-8,-8,-17,-26,-24,-8,-11,-10,-18,-20,-17,-4,-10,-10,-12,-14,-20,1,-9,-9,-10,-13,-30,0,-20,-10,-15,-11,-23,-4,-14,-11,-6,-6,-17,-5,-13,-12,-10,-5,-17,-9,-8,-12,-6,-4,0,-11,-10,-12,-11,-8,-2,-8,-2,-12,-6,-7,-4,-6,-7,-11,-13,-9,-6,-7,-9,-10,-11,-10,-9,-8,-8,-11,-11,-11,-9,-8,-9,-11,-10,-11,-9,-9,-8,-11,-11,-11,-9,-9,-9,-11,-11,-11,-10,-9,-9,-11,-11,-11,-8,-9,-9,-11,-11,-11,-10,-9,-9,-11,-11,-10,-10,-8,-10,-11,-11,-10,-18,-8,-12,-11,-12,-8,-11,-11,-8,-14,-9,-2,0,-9,-8,-13,-7,-3,8,-12,-3,-12,-7,-5,up
32,-26,-9,-4,-14,-53,-18,-14,-16,-6,-24,-36,-17,-16,-12,-7,-22,-29,-21,-11,-12,-8,-18,-26,-18,-9,-11,-8,-16,-23,-27,-2,-17,-9,-19,-10,-31,-4,-14,-10,-8,-12,-26,-1,-15,-11,-11,-8,-14,-5,-13,-12,-7,-6,-18,-5,-14,-12,-10,-5,-16,-9,-7,-12,-5,-9,2,-8,-8,-12,-13,-5,-3,-8,-6,-12,-7,-8,-7,-7,-8,-11,-12,-9,-6,-8,-8,-11,-9,-10,-7,-8,-9,-11,-12,-11,-8,-8,-8,-11,-10,-11,-7,-8,-9,-11,-12,-11,-10,-9,-8,-11,-11,-11,-10,-9,-9,-11,-11,-11,-11,-9,-10,-11,-10,-10,-14,-9,-11,-11,-11,-9,-17,-9,-11,-12,-10,-7,-14,-12,-9,-13,-10,-5,-15,-10,-10,-13,-9,-3,-8,-11,-4,-13,-5,-1,13,-7,-3,-12,-9,-8,11,-13,-2,-9,-10,-17,10,-13,-4,-8,-13,-21,11,-17,-2,-8,-15,-24,up
55,6,9,-14,5,-11,40,-7,13,-10,-2,-15,46,-11,9,-7,-2,-28,23,-14,0,-7,-10,-26,10,-14,-2,-6,-15,-24,-4,-16,-5,-5,-15,-25,-12,-11,-12,-6,-16,-25,-27,-5,-19,-9,-23,-13,-37,-2,-13,-10,-6,-13,-21,-4,-14,-12,-6,-9,-14,-2,-13,-12,-12,-8,-24,-5,-10,-13,-6,-5,-17,-9,-6,-12,-5,-7,0,-9,-7,-12,-16,-5,-8,-6,-6,-11,-11,-8,-11,-8,-7,-11,-8,-7,-2,-8,-9,-10,-15,-9,-7,-7,-8,-11,-10,-10,-6,-8,-9,-11,-11,-10,-8,-9,-9,-11,-11,-11,-10,-9,-9,-11,-11,-11,-8,-9,-9,-11,-10,-11,-10,-9,-9,-11,-11,-11,-12,-9,-10,-11,-11,-10,-15,-9,-11,-11,-11,-8,-14,-11,-11,-12,-10,-7,-14,-11,-12,-12,-12,-5,-7,-11,-7,-14,-7,-1,11,-8,-6,-13,-7,-5,25,-16,0,-10,-5,-11,up
