@relation newdata

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,left,right,down}

@data
4.046243,46.242775,-77.456647,-8.493518,-6.861869,-11.64506,4.046243,46.242775,-77.456647,-8.493518,-6.861869,-11.64506,7.321773,18.111753,-29.094412,-8.36686,-7.949635,-9.774996,2.312139,9.971098,-15.028902,-8.560572,-8.264417,-9.231113,-1.965318,4.624277,-5.780347,-8.725972,-8.471167,-8.873491,-4.046243,-0.096339,-0.674374,-8.806437,-8.653703,-8.676054,-4.541701,-1.734104,3.055326,-8.825596,-8.717032,-8.531835,-2.890173,-4.985549,5.635838,-8.761734,-8.842758,-8.432052,-7.000642,-7.000642,8.34939,-8.920677,-8.920677,-8.327125,-6.358382,-9.017341,10.115607,-8.895843,-8.998659,-8.258829,-6.988965,-8.565423,9.196006,-8.920226,-8.981184,-8.294388,-5.587669,-8.71869,6.936416,-8.866041,-8.987111,-8.381761,-5.424633,-7.29213,4.446421,-8.859737,-8.931949,-8.478044,-3.757225,-6.028076,2.270851,-8.795262,-8.88307,-8.562169,-4.431599,-5.741811,0.308285,-8.821338,-8.872001,-8.638057,-3.359827,-4.154624,-1.228324,-8.779895,-8.810628,-8.697474,-2.482149,-3.16219,-2.278137,-8.745957,-8.772253,-8.738068,-3.050739,-2.665382,-2.890173,-8.767943,-8.753042,-8.761734,-2.707636,-2.43383,-3.498631,-8.754676,-8.744089,-8.785262,-3.092486,-1.820809,-3.699422,-8.769557,-8.720384,-8.793026,-2.36719,-1.568951,-4.211396,-8.741512,-8.710646,-8.812823,-2.469785,-1.339989,-4.781923,-8.745479,-8.701792,-8.834884,-2.437798,-1.105805,-4.875597,-8.744242,-8.692737,-8.838507,-1.974952,-1.156069,-4.576108,-8.726345,-8.69468,-8.826926,-2.242775,-1.156069,-4.393064,-8.736701,-8.69468,-8.819848,-2.401067,-1.044909,-4.112939,-8.742822,-8.690382,-8.809016,-2.183687,-1.241704,-3.618069,-8.734416,-8.697992,-8.789881,-2.332783,-1.094137,-3.303055,-8.740181,-8.692286,-8.7777,-2.531393,-1.295595,-3.029699,-8.747861,-8.700076,-8.76713,-2.620424,-1.233141,-2.928709,-8.751304,-8.697661,-8.763225,up
1.734104,4.624277,-95.375723,-8.582924,-8.471167,-12.337953,6.069364,4.33526,-60.693642,-8.415288,-8.482342,-10.996871,6.743738,-2.697495,-29.287091,-8.389212,-8.754284,-9.782447,0.433526,-3.179191,-15.17341,-8.633214,-8.77291,-9.236701,-2.196532,-5.549133,-4.277457,-8.734913,-8.864551,-8.815378,-1.637765,-8.959538,2.986513,-8.713307,-8.996424,-8.534496,-1.899257,-10.652353,7.679604,-8.723418,-9.061881,-8.353024,-4.768786,-13.583815,9.682081,-8.834376,-9.175235,-8.275592,-5.39499,-13.872832,8.798972,-8.85859,-9.18641,-8.30974,-6.300578,-13.641618,9.190751,-8.893608,-9.17747,-8.294591,-6.41093,-13.294798,9.090909,-8.897875,-9.164059,-8.298452,-6.647399,-12.620424,8.092486,-8.907018,-9.137982,-8.337059,-6.047132,-11.73855,5.646954,-8.883807,-9.103882,-8.431622,-5.450041,-10.693642,3.179191,-8.860719,-9.063478,-8.527045,-4.508671,-9.287091,0.770713,-8.824318,-9.00909,-8.620176,-4.696532,-7.586705,-0.830925,-8.831582,-8.943339,-8.682108,-3.230194,-7.140428,-2.040122,-8.774882,-8.926083,-8.728865,-4.271034,-6.229929,-2.376365,-8.815129,-8.890876,-8.741867,-3.559477,-5.567387,-2.981442,-8.787615,-8.865257,-8.765264,-5.289017,-4.913295,-2.543353,-8.854493,-8.839964,-8.748324,-4.046243,-4.18387,-3.248004,-8.806437,-8.811759,-8.775571,-3.730951,-3.547031,-3.862323,-8.794246,-8.787134,-8.799325,-3.820055,-3.191757,-4.599146,-8.797691,-8.773396,-8.827817,-3.998073,-3.27553,-5.009634,-8.804575,-8.776635,-8.843689,-3.976879,-2.774566,-4.300578,-8.803755,-8.757264,-8.816272,-3.37928,-2.601156,-4.33526,-8.780647,-8.750559,-8.817613,-3.403982,-2.312139,-4.281738,-8.781602,-8.739383,-8.815543,-3.014038,-2.229562,-4.046243,-8.766524,-8.73619,-8.806437,-3.089496,-2.252342,-3.547937,-8.769442,-8.737071,-8.787169,-3.159923,-2.273603,-3.44894,-8.772165,-8.737893,-8.783341,up
1.156069,-58.959538,82.080925,-8.605275,-10.929817,-5.476084,-2.023121,-32.080925,36.416185,-8.728207,-9.890478,-7.241842,-8.863198,-38.342967,46.820809,-8.992699,-10.132618,-6.839517,-11.849711,-30.346821,36.560694,-9.108181,-9.823424,-7.236254,-7.630058,-28.323699,32.485549,-8.945016,-9.745194,-7.393831,-6.262042,-23.603083,22.157996,-8.892117,-9.562658,-7.793175,-4.624277,-18.001652,14.946325,-8.828789,-9.346063,-8.072035,-2.312139,-15.317919,7.875723,-8.739383,-9.242289,-8.34544,-2.376365,-13.680154,2.633269,-8.741867,-9.17896,-8.548155,-2.947977,-11.040462,-1.387283,-8.76397,-9.076889,-8.703621,-2.785076,-9.721492,-2.890173,-8.757671,-9.025887,-8.761734,-2.890173,-8.477842,-3.323699,-8.761734,-8.977798,-8.778498,-2.890173,-7.558915,-3.601601,-8.761734,-8.942265,-8.789244,-4.459125,-6.069364,-3.550784,-8.822402,-8.884667,-8.787279,-3.429672,-5.741811,-4.739884,-8.782596,-8.872001,-8.833259,-3.721098,-4.624277,-4.660405,-8.793865,-8.828789,-8.830186,-2.754165,-4.556273,-4.318259,-8.756475,-8.826159,-8.816955,-2.729608,-4.238921,-4.01413,-8.755526,-8.813888,-8.805195,-2.251293,-4.350472,-3.224825,-8.73703,-8.818201,-8.774675,-2.803468,-4.364162,-2.572254,-8.758382,-8.81873,-8.749441,-2.642444,-4.293972,-2.36719,-8.752155,-8.816016,-8.741512,-2.758802,-4.387809,-2.338413,-8.756655,-8.819645,-8.740399,-3.040965,-4.121639,-2.563458,-8.767565,-8.809353,-8.749101,-2.938343,-4.118497,-2.408478,-8.763597,-8.809231,-8.743108,-2.867052,-4.092486,-2.33526,-8.76084,-8.808225,-8.740277,-2.867941,-4.024011,-2.378835,-8.760875,-8.805578,-8.741962,-3.189895,-3.832156,-2.483408,-8.773324,-8.798159,-8.746006,-2.848885,-3.901734,-2.436003,-8.760138,-8.800849,-8.744173,-2.890173,-3.687463,-2.491529,-8.761734,-8.792564,-8.74632,-2.83237,-3.660886,-2.466281,-8.759499,-8.791536,-8.745343,up
-1.734104,-65.317919,63.00578,-8.717032,-11.175682,-6.213679,-4.624277,-47.687861,51.156069,-8.828789,-10.493965,-6.671882,-14.258189,-32.177264,40.26975,-9.201311,-9.894204,-7.092833,-10.404624,-29.624277,36.127168,-9.052302,-9.795485,-7.253017,-11.213873,-25.433526,28.901734,-9.083594,-9.633438,-7.532409,-8.766859,-21.483622,19.942197,-8.988973,-9.480703,-7.878856,-6.275805,-17.919075,12.303881,-8.89265,-9.34287,-8.174213,-5.130058,-15.462428,6.286127,-8.848346,-9.247877,-8.406907,-4.046243,-13.615928,2.183687,-8.806437,-9.176476,-8.565539,-3.236994,-10.924855,-1.040462,-8.775145,-9.072418,-8.69021,-3.520757,-8.880715,-1.839201,-8.786118,-8.993376,-8.721096,-4.38343,-7.65896,-2.408478,-8.819475,-8.946133,-8.743108,-3.512672,-6.002668,-3.468208,-8.785805,-8.882088,-8.784086,-3.88109,-5.739059,-3.096614,-8.800051,-8.871895,-8.769717,-4.16185,-4.315992,-4.16185,-8.810907,-8.816868,-8.810907,-3.937861,-4.443642,-4.010116,-8.802246,-8.821804,-8.80504,-4.556273,-3.094186,-4.318259,-8.826159,-8.769623,-8.816955,-3.725112,-3.628773,-4.367373,-8.79402,-8.790295,-8.818855,-3.650745,-2.798905,-4.989352,-8.791144,-8.758205,-8.842905,-3.757225,-2.572254,-4.364162,-8.795262,-8.749441,-8.81873,-3.055326,-2.697495,-4.046243,-8.768121,-8.754284,-8.806437,-3.074094,-2.706253,-3.730951,-8.768846,-8.754623,-8.794246,-2.890173,-2.789646,-3.543604,-8.761734,-8.757847,-8.787001,-3.27553,-2.649326,-3.179191,-8.776635,-8.752421,-8.77291,-3.028902,-2.774566,-2.959538,-8.767099,-8.757264,-8.764417,-3.045798,-2.801245,-2.823477,-8.767752,-8.758296,-8.759155,-3.189895,-2.761721,-2.997217,-8.773324,-8.756767,-8.765874,-2.993394,-2.807597,-2.828241,-8.765726,-8.758541,-8.75934,-3.169225,-2.790512,-2.750648,-8.772525,-8.757881,-8.756339,-3.217726,-2.83237,-2.813102,-8.7744,-8.759499,-8.758754,up
6.936416,-10.404624,-94.219653,-8.381761,-9.052302,-12.29325,-1.445087,-13.872832,-38.728324,-8.705856,-9.18641,-10.147519,5.973025,-1.348748,-34.489403,-8.419014,-8.702131,-9.983609,1.589595,-4.33526,-17.630058,-8.588511,-8.817613,-9.331694,0.809249,-5.433526,-3.699422,-8.618686,-8.86008,-8.793026,-0.674374,-8.285164,3.757225,-8.676054,-8.970347,-8.504694,-3.137903,-10.569777,8.340215,-8.771314,-9.058688,-8.327479,-4.696532,-12.138728,12.066474,-8.831582,-9.119356,-8.183393,-6.55106,-13.808606,12.780989,-8.903293,-9.183927,-8.155764,-5.83815,-13.757225,13.179191,-8.875726,-9.18194,-8.140367,-5.359958,-13.399895,11.508145,-8.857236,-9.168123,-8.204982,-4.576108,-12.620424,8.526012,-8.826926,-9.137982,-8.320295,-4.179635,-10.715874,5.913739,-8.811595,-9.064338,-8.421306,-2.436003,-10.156895,2.725021,-8.744173,-9.042723,-8.544607,-2.38921,-9.055877,0.500963,-8.742363,-9.000149,-8.630606,-2.131503,-7.839595,-1.517341,-8.732398,-8.953118,-8.70865,-3.570214,-7.038422,-2.210133,-8.78803,-8.922138,-8.735439,-2.569043,-6.647399,-2.85806,-8.749317,-8.907018,-8.760493,-3.498631,-5.780347,-3.285671,-8.785262,-8.873491,-8.777028,-3.959538,-4.364162,-4.046243,-8.803084,-8.81873,-8.806437,-2.752546,-4.266446,-4.156345,-8.756413,-8.814952,-8.810695,-3.520757,-3.652128,-4.387809,-8.786118,-8.791198,-8.819645,-2.789646,-3.593868,-4.724805,-8.757847,-8.788945,-8.832676,-3.034682,-3.155106,-4.407514,-8.767322,-8.771979,-8.820407,-2.820809,-3.398844,-4.439306,-8.759052,-8.781404,-8.821636,-2.867941,-3.223655,-4.157403,-8.760875,-8.774629,-8.810736,-2.997217,-3.10426,-3.832156,-8.765874,-8.770013,-8.798159,-2.642444,-2.993394,-3.406276,-8.752155,-8.765726,-8.781691,-2.77058,-3.069563,-3.189157,-8.75711,-8.768671,-8.773296,-2.793834,-3.198459,-2.986513,-8.758009,-8.773655,-8.76546,up
5.780347,0.578035,-94.219653,-8.426464,-8.627626,-12.29325,5.780347,7.803468,-59.82659,-8.426464,-8.348234,-10.963344,0,3.468208,-16.377649,-8.649978,-8.515869,-9.283266,-2.456647,1.011561,-3.034682,-8.744971,-8.610863,-8.767322,-1.040462,-3.468208,7.514451,-8.69021,-8.784086,-8.35941,-1.348748,-8.477842,12.331407,-8.702131,-8.977798,-8.173149,-2.06441,-12.056152,12.634187,-8.729804,-9.116163,-8.161441,-6.936416,-13.150289,12.138728,-8.918194,-9.158471,-8.180599,-5.009634,-10.918433,9.698137,-8.843689,-9.07217,-8.274971,-5.028902,-11.965318,7.803468,-8.844435,-9.112651,-8.348234,-5.990541,-10.404624,5.622701,-8.881619,-9.052302,-8.43256,-2.842004,-9.104046,3.468208,-8.759872,-9.002012,-8.515869,-2.712317,-6.669631,1.823032,-8.754857,-8.907878,-8.579485,-2.931462,-6.647399,-0.660611,-8.763331,-8.907018,-8.675522,-2.697495,-5.163776,-1.657033,-8.754284,-8.84965,-8.714052,-2.854046,-3.251445,-3.106936,-8.760338,-8.775704,-8.770116,-2.414145,-3.50221,-3.706222,-8.743327,-8.785401,-8.793289,-2.761721,-2.151574,-4.174695,-8.756767,-8.733174,-8.811404,-2.00791,-2.677213,-4.472163,-8.727619,-8.7535,-8.822907,-3.208092,-2.369942,-3.786127,-8.774028,-8.741618,-8.796379,-2.312139,-2.036884,-4.844481,-8.739383,-8.72874,-8.837303,-2.706253,-1.655281,-4.650552,-8.754623,-8.713984,-8.829805,-2.890173,-1.583312,-4.021111,-8.761734,-8.711201,-8.805465,-1.782274,-1.806358,-3.444123,-8.718894,-8.719826,-8.783155,-2.612717,-2.17341,-2.890173,-8.751006,-8.734019,-8.761734,-2.134282,-2.378835,-3.156959,-8.732506,-8.741962,-8.77205,-2.633269,-2.354956,-3.125669,-8.751801,-8.741039,-8.770841,-2.085054,-2.126342,-3.241123,-8.730602,-8.732199,-8.775305,-2.033088,-1.993223,-3.12936,-8.728593,-8.727051,-8.770983,-2.369942,-2.042389,-2.928709,-8.741618,-8.728952,-8.763225,up
-35.83815,-2.312139,-90.17341,-10.035762,-8.739383,-12.13679,-24.566474,8.959538,-40.462428,-9.599911,-8.303532,-10.214573,-13.487476,-0.192678,-22.350674,-9.171509,-8.657428,-9.51423,-9.104046,-1.734104,-9.104046,-9.002012,-8.717032,-9.002012,-3.352601,-6.242775,2.427746,-8.779616,-8.891372,-8.556102,-2.408478,-11.175337,7.899807,-8.743108,-9.082104,-8.344509,-2.642444,-13.294798,8.67052,-8.752155,-9.164059,-8.314707,-11.632948,-14.089595,11.705202,-9.099799,-9.194792,-8.197363,-9.377007,-15.671162,13.230572,-9.012566,-9.255948,-8.13838,-9.537572,-17.803468,13.063584,-9.018775,-9.3384,-8.144837,-6.988965,-16.500263,9.511298,-8.920226,-9.288007,-8.282196,-7.65896,-13.872832,6.984586,-8.946133,-9.18641,-8.379899,-6.313917,-13.161405,4.713206,-8.894123,-9.158901,-8.467728,-4.33526,-11.519405,1.403799,-8.817613,-9.095408,-8.595696,-6.936416,-9.903661,-0.231214,-8.918194,-9.032931,-8.658918,-5.960983,-8.309249,-0.650289,-8.880476,-8.971278,-8.675123,-4.896294,-7.378443,-1.530092,-8.839307,-8.935286,-8.709143,-4.527938,-7.161207,-2.472704,-8.825063,-8.926886,-8.745592,-4.472163,-5.871615,-2.890173,-8.822907,-8.87702,-8.761734,-4.682081,-5.867052,-3.179191,-8.831024,-8.876844,-8.77291,-4.046243,-4.982108,-3.495734,-8.806437,-8.842625,-8.78515,-4.492906,-4.15134,-4.440357,-8.823709,-8.810501,-8.821677,-3.719528,-3.593868,-4.649409,-8.793804,-8.788945,-8.82976,-3.251445,-3.949904,-4.214836,-8.775704,-8.802712,-8.812956,-3.745665,-3.606936,-4.092486,-8.794814,-8.78945,-8.808225,-3.201423,-3.401512,-4.290796,-8.77377,-8.781507,-8.815894,-3.125669,-3.425391,-3.746521,-8.770841,-8.78243,-8.794848,-3.261767,-3.488852,-3.42692,-8.776103,-8.784884,-8.782489,-3.528005,-3.48814,-3.169225,-8.786398,-8.784857,-8.772525,-3.641618,-3.468208,-3.00578,-8.790791,-8.784086,-8.766205,up
-6.358382,-4.046243,-96.531792,-8.895843,-8.806437,-12.382655,-5.780347,2.312139,-54.33526,-8.873491,-8.560572,-10.751006,-11.560694,-1.348748,-31.599229,-9.097005,-8.702131,-9.871852,-11.705202,-2.023121,-14.450867,-9.102593,-8.728207,-9.208762,-3.121387,-6.358382,-1.734104,-8.770675,-8.895843,-8.717032,-1.348748,-8.67052,6.647399,-8.702131,-8.985248,-8.392937,3.963666,-12.221305,10.73493,-8.496711,-9.122549,-8.234881,-5.130058,-13.728324,13.728324,-8.848346,-9.180823,-8.119133,-3.59666,-15.028902,13.102119,-8.789053,-9.231113,-8.143347,-6.011561,-14.855491,13.063584,-8.882432,-9.224408,-8.144837,-6.358382,-15.554388,12.033631,-8.895843,-9.251433,-8.184663,-4.672447,-13.969171,9.633911,-8.830651,-9.190136,-8.277455,-3.37928,-12.361049,6.847488,-8.780647,-9.127953,-8.3852,-3.922378,-10.982659,4.830718,-8.801648,-9.074654,-8.463184,-3.082852,-9.980732,2.504817,-8.769185,-9.035911,-8.553122,-3.973988,-8.706647,1.011561,-8.803643,-8.986645,-8.610863,-3.740224,-8.058484,-0.374022,-8.794604,-8.961582,-8.66444,-3.211304,-7.28966,-1.156069,-8.774152,-8.931853,-8.69468,-4.745969,-6.23669,-1.490721,-8.833494,-8.891137,-8.707621,-4.566474,-5.924855,-1.878613,-8.826553,-8.879079,-8.72262,-3.688412,-4.872007,-3.27553,-8.792601,-8.838368,-8.776635,-4.361534,-4.571729,-3.59958,-8.818629,-8.826757,-8.789166,-3.845187,-4.021111,-4.046243,-8.798663,-8.805465,-8.806437,-3.709056,-3.973988,-4.503854,-8.793399,-8.803643,-8.824132,-4,-3.583815,-4.16185,-8.804649,-8.788556,-8.810907,-2.934638,-3.512672,-3.979546,-8.763454,-8.785805,-8.803858,-3.425391,-3.082852,-3.725112,-8.78243,-8.769185,-8.79402,-3.42692,-3.261767,-3.488852,-8.782489,-8.776103,-8.784884,-3.069563,-2.94997,-3.448276,-8.768671,-8.764047,-8.783315,-3.198459,-3.102119,-3.314066,-8.773655,-8.76993,-8.778125,up
-10.982659,-61.271676,64.739884,-9.074654,-11.019222,-6.146625,-20.231214,-24.855491,26.011561,-9.432275,-9.611086,-7.644166,-4.046243,-29.287091,40.26975,-8.806437,-9.782447,-7.092833,-4.33526,-26.156069,34.248555,-8.817613,-9.661377,-7.325659,-1.849711,-24.393064,30.17341,-8.721502,-9.593205,-7.483236,-5.202312,-23.795761,24.855491,-8.85114,-9.570109,-7.688869,-5.367465,-20.644096,18.992568,-8.857526,-9.448241,-7.915576,-3.973988,-17.702312,12.138728,-8.803643,-9.334488,-8.180599,-5.202312,-14.964676,8.477842,-8.85114,-9.22863,-8.322158,-3.410405,-11.907514,4.624277,-8.781851,-9.110416,-8.471167,-3.678403,-10.299527,2.469785,-8.792214,-9.048238,-8.554476,-3.805395,-9.585742,1.1079,-8.797124,-9.020638,-8.607138,-3.734993,-7.8257,0.044464,-8.794402,-8.952581,-8.648258,-4.541701,-7.225434,-0.041288,-8.825596,-8.92937,-8.651574,-4.508671,-5.549133,-0.578035,-8.824318,-8.864551,-8.672329,-3.648844,-5.238439,-2.131503,-8.791071,-8.852537,-8.732398,-3.978239,-4.352261,-2.822169,-8.803808,-8.81827,-8.759105,-3.692999,-3.59666,-3.660886,-8.792778,-8.789053,-8.791536,-3.498631,-3.529054,-3.954974,-8.785262,-8.786439,-8.802908,-3.063584,-3.208092,-3.930636,-8.76844,-8.774028,-8.801967,-3.055326,-3.220479,-3.991192,-8.768121,-8.774507,-8.804308,-2.916448,-3.520757,-3.573305,-8.76275,-8.786118,-8.78815,-3.091229,-3.216889,-3.36768,-8.769509,-8.774368,-8.780199,-2.745665,-3.034682,-2.890173,-8.756147,-8.767322,-8.761734,-2.150289,-3.121387,-2.543353,-8.733125,-8.770675,-8.748324,-2.912406,-3.245887,-2.312139,-8.762594,-8.775489,-8.739383,-2.804539,-3.211304,-2.354956,-8.758423,-8.774152,-8.741039,-2.952106,-3.220479,-2.270851,-8.764129,-8.774507,-8.737787,-2.910106,-3.209089,-2.332071,-8.762505,-8.774066,-8.740154,-2.947977,-3.159923,-2.2158,-8.76397,-8.772165,-8.735658,up
1.734104,9.82659,-91.907514,-8.582924,-8.270004,-12.203844,-7.225434,-0.867052,-32.65896,-8.92937,-8.683505,-9.91283,-3.660886,1.156069,-29.672447,-8.791536,-8.605275,-9.797348,1.011561,-4.33526,-18.352601,-8.610863,-8.817613,-9.359633,-3.815029,-6.705202,-5.780347,-8.797497,-8.909253,-8.873491,0.192678,-8.959538,2.697495,-8.642527,-8.996424,-8.545671,0.495458,-12.138728,10.73493,-8.630819,-9.119356,-8.234881,-2.312139,-13.511561,12.572254,-8.739383,-9.172441,-8.163835,-3.27553,-12.074502,11.817598,-8.776635,-9.116873,-8.193016,-4.046243,-12.716763,11.965318,-8.806437,-9.141708,-8.187304,-3.152916,-11.403048,10.667367,-8.771894,-9.090909,-8.237493,-4.527938,-11.416185,9.296724,-8.825063,-9.091417,-8.290493,-2.756781,-10.093375,6.803024,-8.756576,-9.040267,-8.386919,-2.436003,-8.753097,3.42692,-8.744173,-8.988441,-8.517466,-3.044316,-7.552987,0.578035,-8.767695,-8.942035,-8.627626,-2.962428,-6.394509,-1.553468,-8.764528,-8.89724,-8.710047,-4.930296,-5.50833,-3.026182,-8.840622,-8.862973,-8.766994,-3.211304,-4.849069,-3.371869,-8.774152,-8.837481,-8.780361,-3.072711,-4.533009,-3.863706,-8.768793,-8.825259,-8.799379,-4.132948,-4.104046,-4.682081,-8.80979,-8.808672,-8.831024,-3.826039,-3.88109,-4.376548,-8.797922,-8.800051,-8.819209,-2.417236,-3.678403,-4.440357,-8.743447,-8.792214,-8.821677,-3.945715,-3.191757,-4.448354,-8.80255,-8.773396,-8.821986,-3.034682,-3.106936,-4.142582,-8.767322,-8.770116,-8.810162,-3.260116,-3.144509,-3.560694,-8.776039,-8.771569,-8.787662,-3.023566,-2.734549,-3.734993,-8.766892,-8.755717,-8.794402,-2.740313,-2.932991,-3.703704,-8.75594,-8.76339,-8.793192,-2.890173,-2.766309,-3.612717,-8.761734,-8.756945,-8.789674,-3.049631,-2.531393,-3.428344,-8.7679,-8.747861,-8.782544,-2.774566,-2.524085,-3.217726,-8.757264,-8.747579,-8.7744,up
