@relation newnewtrain

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,right,left,down}

@data
108.203991,127.272727,83.148559,73.931423,82.239967,86.863942,114.634146,125.498891,94.456763,73.529565,83.899588,83.956996,116.481892,125.351072,98.743533,73.246003,83.537742,84.024842,118.791574,122.560976,109.090909,73.399092,84.108345,82.709671,116.230599,118.359202,119.423503,75.409425,84.89536,83.636553,119.290466,102.882483,147.450111,89.316841,90.955587,83.857836,114.745011,106.762749,141.35255,90.418037,89.661291,85.861907,113.525499,106.356245,138.95048,90.670285,88.429623,86.296818,115.687361,107.982262,135.310421,91.046918,88.252179,86.73086,113.791574,109.534368,133.702882,91.419028,86.734513,86.999635,116.851441,113.747228,128.159645,91.894995,87.396274,85.246073,114.855876,116.851441,125.609756,93.846876,81.44147,87.192735,109.090909,115.373245,124.242424,94.013882,81.150949,88.255658,115.465632,115.299335,123.170732,95.702208,81.110067,88.505297,115.831486,116.718403,118.492239,95.669328,80.972809,89.279265,137.250554,132.815965,96.452328,89.306404,89.995303,87.991232,130.266075,130.487805,91.019956,89.045457,90.69464,87.239706,127.937916,130.45085,89.948263,87.573717,93.672912,85.433954,128.04878,127.660754,93.68071,86.279422,92.40906,84.178801,122.394678,126.563193,96.629712,86.158342,89.519336,84.110433,118.625277,126.607539,107.095344,77.908251,90.882522,81.83289,109.977827,120.066519,103.104213,78.01263,84.066594,86.1907,117.147081,117.960089,108.130081,78.103091,84.028321,85.771445,115.687361,118.957871,111.973393,78.511038,84.097907,85.608789,118.492239,118.314856,113.037694,79.029278,85.279474,85.112468,115.964523,113.303769,126.385809,82.459162,81.279683,83.440321,116.629712,114.523282,127.605322,83.659517,86.002818,83.774333,117.22099,116.481892,124.759793,84.160534,85.893221,84.104866,115.853658,116.629712,123.337029,84.494546,85.734043,84.551954,116.940133,116.496674,122.350333,84.742967,85.761703,84.763843,up
121.507761,132.372505,86.031042,37.242315,81.310996,74.578571,116.740577,114.190687,120.731707,60.247377,85.240854,79.834038,116.703622,113.377679,134.5898,70.260773,87.431067,81.87812,117.184035,110.310421,134.5898,76.538281,88.325244,83.061949,115.254989,110.37694,133.614191,79.832994,87.223005,83.995616,116.851441,113.08204,123.059867,92.646522,84.630239,89.42122,116.297117,110.864745,122.172949,93.152758,82.558322,86.780439,113.15595,111.456024,124.464154,92.817007,82.410452,86.498617,115.798226,111.474501,123.392461,93.199729,82.814049,86.443818,113.525499,113.880266,122.48337,93.212254,81.782788,86.937007,112.638581,111.086474,111.086474,96.696415,80.653411,90.099682,122.172949,121.286031,106.430155,94.436616,83.508168,89.86483,120.768662,120.399113,101.108648,93.307587,83.454239,89.386427,122.782705,122.062084,101.496674,91.506184,85.859298,88.753197,122.926829,121.507761,100.443459,90.728041,87.076875,88.179114,125.498891,136.585366,95.56541,83.701268,85.934972,83.137623,118.957871,124.279379,106.097561,83.101091,87.036167,83.534262,121.286031,128.085735,102.808573,82.535706,87.396274,84.37973,116.297117,123.447894,105.986696,81.757215,85.911487,83.416836,117.960089,122.793792,107.67184,81.724336,86.390063,83.95804,104.878049,117.738359,120.399113,78.711967,79.72444,83.983091,114.301552,118.292683,124.501109,80.543813,82.532227,85.778404,119.364375,117.886179,120.694752,81.850286,84.491067,84.699824,116.851441,117.461197,119.62306,82.130369,85.102552,84.904233,117.2949,118.093126,120.842572,82.281718,84.945462,84.901623,119.955654,117.073171,121.951219,85.392203,87.333646,84.431919,117.073171,116.629712,120.509978,85.507019,85.94541,84.932937,116.555802,116.999261,119.881744,85.531374,85.680984,85.141694,117.350333,117.017738,118.957871,85.496582,85.741872,85.340014,117.605322,116.984479,118.669623,85.565472,85.736653,85.17927,up
113.968958,125.055432,81.152993,75.476228,87.417149,82.386097,117.405765,122.394678,95.676275,74.964772,85.851469,82.292156,117.664449,119.512195,105.099778,75.149175,85.329576,82.382617,117.2949,116.463415,111.141907,76.120766,86.302907,82.660091,116.141907,114.988913,117.161862,77.106623,86.682323,83.45911,116.186253,108.425721,145.011087,86.028913,88.888889,87.344084,112.971175,108.093126,141.13082,86.524712,87.949481,87.672877,118.107908,109.460458,137.989653,87.959919,88.220865,87.451942,116.796009,111.197339,135.809313,88.372214,86.644747,86.845676,117.117517,113.259423,134.988913,89.289703,86.496529,86.540368,119.290466,112.86031,133.481153,91.748865,81.352748,84.682428,107.760532,110.864745,128.27051,93.251918,78.043943,85.345232,105.173688,111.751663,123.133777,93.540699,79.87405,85.719256,107.594235,112.305987,121.563193,93.131882,81.112677,87.299723,109.977827,113.924612,120.576497,93.375085,80.797453,88.331507,122.172949,115.521064,107.538803,94.107823,86.28986,87.124889,130.266075,122.394678,105.654102,92.035906,86.712593,88.502688,125.868441,120.399113,103.473762,91.863681,88.144321,86.512534,128.215078,122.062084,102.549889,91.140859,87.665049,86.28725,126.784922,122.882483,99.822616,90.062105,88.298106,85.312875,102.439024,117.2949,111.086474,81.070925,80.768227,82.27128,113.858093,124.279379,101.662971,81.613694,85.146913,86.143729,112.342942,122.099039,107.464893,80.350712,83.656037,84.665031,114.634146,121.840355,107.7051,80.358541,84.96686,85.619227,116.274945,120.088692,109.445676,80.198319,84.596837,85.003914,113.968958,120.620843,117.51663,81.290121,86.92657,85.01644,116.740577,118.070953,117.738359,81.457126,85.955848,85.141694,117.59054,117.36881,120.177384,81.728511,85.834073,84.685907,118.514412,117.461197,121.286031,82.553103,86.488179,84.442357,117.738359,117.250554,120.620843,83.120923,86.575857,84.383905,up
113.747228,126.607539,83.592018,73.566098,86.362925,84.828558,113.636364,120.953437,98.669623,74.505506,85.663588,83.98831,117.073171,119.438285,107.686622,75.142216,86.098499,83.983091,117.017738,117.682927,114.412417,75.705861,86.245499,83.910026,117.161862,115.875832,121.197339,77.148374,86.705287,84.131308,112.195122,108.86918,142.793792,88.49225,88.335682,84.463233,115.4102,108.758315,135.587583,88.617504,89.217682,85.710558,112.712491,109.608278,135.033259,88.874972,87.444984,85.980203,114.24612,111.640798,133.758315,89.241167,87.247534,86.023694,114.501109,113.658537,132.682927,89.62789,86.617609,86.617609,105.099778,109.090909,131.042129,93.283232,74.004488,86.853505,114.079823,111.973393,128.824834,93.319764,80.517718,85.950629,113.303769,111.603843,126.459719,94.619279,79.940156,86.884818,111.086474,113.137472,124.05765,95.128125,78.244872,87.667658,114.900222,113.83592,120.177384,95.50441,79.981212,87.803351,116.186253,126.385809,101.773836,92.740462,79.620062,89.483847,121.175166,125.166297,99.113082,91.023433,86.143729,88.325244,126.459719,126.385809,98.300074,90.35367,87.26754,88.179114,128.658537,129.268293,96.618625,89.629978,88.823652,86.597777,123.325942,126.607539,96.54102,87.613381,88.511038,85.736653,112.195122,127.494457,89.135255,80.402902,91.18522,86.185481,115.853658,118.847007,98.780488,76.389541,84.009185,84.411043,116.851441,120.251293,107.982262,77.393316,84.96425,84.835517,117.904656,117.793792,109.922395,77.947393,85.499191,83.800428,116.274945,117.827051,112.727273,78.465633,85.277386,83.713794,117.2949,115.964523,125.720621,83.012369,85.830593,84.96425,117.2949,115.299335,124.279379,83.633422,86.253327,85.225197,117.738359,116.334072,123.725055,84.393647,86.23767,85.294783,117.017738,116.574279,122.727273,84.648505,86.193309,85.452221,117.560976,116.940133,121.72949,84.838996,86.08319,85.431867,up
115.742794,123.503326,80.709534,75.131778,84.254475,83.116748,116.851441,122.062084,96.784922,74.834299,84.557173,82.553103,118.994826,119.290466,105.099778,75.048275,84.988605,82.953221,118.847007,115.853658,112.416851,76.068577,85.901049,82.931475,116.851441,113.481153,118.935698,77.626429,87.106101,83.193988,112.638581,111.529933,141.019956,86.634309,89.024581,87.448463,111.640798,110.421286,135.476718,87.599812,87.182297,87.933824,115.668884,110.864745,133.628973,87.918167,87.037907,87.431067,116.796009,112.527716,132.815965,88.520954,86.929179,86.890037,114.722838,113.968958,132.10643,88.882626,86.285684,86.365012,113.08204,113.525499,129.711752,91.059966,83.534262,85.903658,109.756098,115.077605,127.383592,92.302072,77.584677,87.584155,110.643016,114.338507,127.272727,92.444723,81.119635,87.483256,111.696231,114.966741,125.831486,93.189291,80.791712,88.622723,113.83592,115.210643,124.035477,93.765461,79.695214,88.916027,122.616408,124.833703,108.203991,97.385314,85.841031,88.888889,125.277162,123.392461,100.110865,94.989823,84.551954,87.85554,125.720621,124.538064,94.752402,92.79961,86.575161,87.02051,127.10643,122.67184,96.674058,90.874693,89.684776,86.266374,123.946785,122.572062,95.78714,89.575701,87.92443,85.198059,118.403548,117.2949,100.665188,77.302855,89.817859,83.607327,111.529933,118.514412,114.523282,81.702416,84.484108,86.576901,115.003696,124.094605,109.608278,81.304038,89.132439,85.674025,116.241685,124.113082,109.090909,80.749961,86.676061,86.023694,116.762749,122.7051,111.441242,80.271385,86.158342,85.23146,125.94235,117.2949,114.634146,81.718073,90.35019,81.185742,115.853658,115.964523,121.618625,81.138771,83.863055,83.29941,118.403548,115.964523,120.399113,82.299115,86.14025,83.308108,117.184035,116.186253,120.066519,82.694014,85.812327,83.829132,116.718403,116.363636,120.443459,82.937216,85.838944,84.177235,up
119.512195,122.838138,80.931264,75.330098,85.225197,83.659517,119.179601,116.407982,98.447894,74.980429,82.260842,83.471635,121.064302,117.886179,107.982262,75.594524,84.932937,82.967138,121.72949,117.128603,113.08204,76.546109,85.402641,83.15328,119.600887,114.634146,118.27051,77.755858,85.80763,82.69297,103.769401,106.651885,138.802661,85.235635,89.369031,84.995564,110.310421,105.875832,139.689579,86.415114,90.511977,85.282605,109.756098,108.943089,138.728751,87.733765,89.097646,86.714333,113.747228,110.698448,136.086475,88.594019,88.476593,86.451647,112.017738,112.549889,133.83592,89.158186,86.43599,86.99546,121.286031,118.625277,125.720621,90.684202,87.239706,85.225197,114.190687,116.629712,125.388027,91.357445,83.821304,86.185481,111.456024,116.481892,124.538064,91.313954,82.887114,86.24115,110.698448,114.966741,123.669623,91.91848,82.866239,87.858149,112.993348,114.944568,122.616408,91.997286,83.087522,88.214603,109.977827,121.951219,113.747228,94.003445,77.615991,93.752936,122.062084,116.851441,110.864745,94.180888,83.085434,91.289599,124.020695,121.286031,108.64745,93.554616,84.306665,90.186664,123.115299,121.784922,106.152993,92.985752,83.703878,89.515161,126.563193,124.035477,103.192905,92.523355,86.928657,87.934868,126.607539,128.159645,84.035477,83.158499,95.809196,80.340275,118.514412,124.501109,87.583149,80.549032,87.537185,81.68676,115.816704,123.059867,93.274205,78.896369,86.843067,81.345789,116.407982,118.736142,100.776053,78.680653,86.663013,81.772872,115.654102,119.556541,105.809313,79.13992,84.87866,82.219091,111.308204,116.851441,115.521064,81.081363,87.323209,85.235635,116.851441,117.2949,117.184035,80.961328,87.312771,85.089505,115.151515,116.851441,119.881744,81.839848,85.402641,85.816676,117.849224,117.960089,120.066519,82.425239,86.537759,85.329576,116.629712,117.560976,120.133038,82.922603,85.521632,85.58426,up
125.94235,122.838138,83.592018,73.21121,90.277125,80.392464,122.727273,122.394678,96.563193,74.395908,87.90251,81.248369,120.768662,119.955654,103.621582,74.818642,87.862498,81.304038,121.230599,119.955654,112.694013,74.001879,88.134753,81.530192,115.299335,115.476718,121.064302,75.774751,86.598821,82.887114,123.725055,113.303769,144.789357,88.314806,89.483847,86.28986,120.509978,111.197339,144.345898,90.271906,89.885705,85.950629,116.407982,110.347376,140.354767,91.606214,88.471374,86.439469,115.133038,110.532151,137.472284,92.291634,86.848286,86.937007,114.678492,110.909091,134.855876,93.02646,85.137519,87.15829,99.556541,110.199556,122.838138,95.339492,84.484108,88.721883,114.190687,111.197339,121.72949,96.351965,84.640676,89.718699,114.708056,113.821138,117.2949,96.240628,81.321434,89.647374,116.740577,115.742794,114.523282,95.503888,83.288972,89.447315,119.512195,118.580931,112.727273,94.780022,83.273316,89.433746,118.181818,125.498891,99.334812,91.467042,84.097907,86.060226,128.159645,128.381375,92.682927,89.212463,93.852095,84.870309,122.912047,129.268293,91.42646,87.751161,87.778996,84.880747,123.004435,127.439024,92.017738,84.797244,89.316841,84.502375,123.636364,125.321508,94.279379,82.853713,87.458901,84.807682,100.443459,108.425721,119.512195,77.626429,83.88915,80.183706,116.740577,113.303769,120.620843,78.539742,85.616617,81.300558,114.190687,114.116777,123.946785,79.484369,84.658073,82.142546,114.855876,114.190687,123.115299,80.747351,85.948019,82.6627,115.78714,115.343681,123.015521,81.354835,85.818068,83.104222,110.199556,115.742794,122.172949,85.3087,83.910026,86.529931,117.960089,117.51663,119.733925,85.01644,86.326392,85.465268,114.190687,116.999261,119.807834,85.378286,84.741576,85.976724,116.906874,117.184035,119.235033,85.517457,86.075883,85.723605,116.54102,117.161862,118.802661,85.623924,85.546683,85.853557,up
119.955654,126.16408,82.261641,77.929127,86.550806,82.553103,119.512195,122.394678,95.232816,75.940713,85.193883,82.198215,119.068736,119.807834,105.025868,76.029435,85.044274,82.393055,121.895787,118.957871,110.809313,76.702677,86.785658,81.668493,118.181818,117.028825,116.674058,77.133761,86.939095,81.885079,98.447894,101.552106,147.67184,84.306665,87.291895,86.43599,106.430155,108.203991,143.791574,85.668806,88.335682,87.949481,110.347376,109.164819,140.206948,87.117931,88.422664,88.1478,110.310421,110.254989,138.026608,87.899901,87.140546,88.155629,112.993348,111.396896,136.141907,88.911852,86.116591,88.041334,113.968958,113.747228,129.268293,91.905433,80.820416,86.008037,115.299335,114.523282,128.381375,94.212202,81.5876,85.804499,110.569106,114.855876,125.498891,95.854427,80.395943,86.33857,110.088692,115.853658,122.616408,95.989249,80.06889,87.792913,112.638581,115.875832,119.157428,95.871823,79.534471,88.936903,125.277162,126.385809,106.873614,92.082877,89.369031,89.108084,125.609756,124.05765,101.108648,91.117374,87.599812,88.518345,130.968219,121.65558,96.747967,89.974427,90.162309,86.999635,127.993348,123.891352,95.676275,88.173895,88.935859,86.326392,126.385809,124.257206,95.831486,86.903606,89.771933,85.960023,121.951219,121.951219,107.317073,74.912583,87.928605,84.838996,115.4102,118.736142,108.758315,78.513648,83.899588,83.429884,120.399113,118.255728,112.564671,78.134405,85.820156,82.556582,118.126386,117.849224,115.631929,79.369553,84.531079,83.286363,117.605322,118.048781,115.210643,79.985387,85.475706,82.930954,113.08204,115.964523,117.51663,81.68676,84.494546,85.371327,114.855876,115.853658,121.396896,82.146026,83.857836,85.423517,117.886179,116.038433,120.325203,83.130665,85.527895,85.075588,115.964523,116.407982,120.898004,83.5447,85.068629,85.06602,116.984479,116.762749,120.709534,83.970565,85.626011,85.195971,up
124.168514,126.16408,84.035477,78.962476,84.640676,79.828819,118.625277,119.179601,97.89357,78.106571,86.04457,81.451908,117.960089,118.181818,103.843311,77.873458,86.095019,82.013813,116.463415,117.627494,109.81153,77.368091,86.232451,82.286937,115.831486,114.900222,116.407982,78.350817,87.091488,82.868326,108.425721,110.643016,146.784922,83.826523,85.559209,87.605031,116.851441,115.299335,141.574279,86.049789,88.967173,88.163457,113.525499,112.269032,138.137472,87.194475,87.302333,87.765078,115.4102,113.691796,135.97561,87.761599,86.404676,87.680706,115.299335,113.747228,134.235033,88.469287,85.989249,87.08105,105.764967,116.851441,130.37694,91.999374,77.647304,88.095611,112.971175,115.299335,130.59867,92.030687,83.685611,86.561244,109.830007,112.638581,128.307465,93.87819,79.67921,87.765078,110.97561,114.190687,125.388027,94.428788,80.128908,87.928605,113.525499,114.323725,121.685144,94.788372,80.486405,88.339857,120.842572,123.059867,101.330377,91.926309,81.227493,88.49225,122.505543,122.838138,103.104213,90.9869,85.428735,88.78451,127.272727,125.351072,100.07391,90.632013,86.262025,88.7358,127.771619,127.993348,99.390244,89.040238,89.943114,87.137936,122.838138,125.809313,98.093126,88.663431,88.204165,85.696989,131.263858,131.263858,96.895787,75.653672,89.431658,85.16257,119.40133,120.731707,99.334812,78.529304,84.484108,86.185481,118.403548,120.546933,105.469327,77.71689,84.689386,85.026878,117.350333,118.957871,108.980044,78.223997,85.3087,85.152132,119.600887,119.113082,110.731707,78.88106,85.745003,84.667815,114.634146,113.08204,126.829268,81.801576,84.045718,82.32347,112.416851,116.407982,124.833703,82.386097,85.778404,83.591671,115.151515,116.481892,125.277162,83.235043,85.145173,84.202286,115.798226,116.906874,123.780488,83.646469,85.410469,84.504984,116.186253,116.718403,122.971175,84.156359,85.323313,84.690778,up
123.725055,117.960089,82.039911,77.448985,86.519493,82.803612,118.847007,117.960089,96.895787,77.141068,86.696936,82.527008,121.286031,119.955654,102.882483,76.460867,86.92657,82.445245,117.960089,117.073171,110.199556,76.506967,85.718386,82.633996,116.807095,115.698448,116.762749,77.294504,86.456866,82.887114,121.064302,112.195122,142.793792,86.216795,87.813788,85.934972,114.301552,107.427938,142.017738,87.552842,86.409895,85.663588,113.451589,109.830007,139.689579,88.8367,87.034428,85.726215,113.359202,110.532151,135.199556,89.254214,86.934398,85.932363,112.150776,111.707317,133.348115,89.500548,85.813893,86.316998,122.616408,120.177384,124.390244,89.47341,89.42122,86.92657,113.525499,117.849224,128.27051,90.678983,82.354783,88.466155,112.342942,117.22099,129.563932,92.093315,84.077031,87.629386,114.966741,115.909091,126.884701,93.520693,83.288972,88.844528,114.634146,116.274945,123.725055,94.111998,81.887167,89.285528,119.068736,118.403548,105.986696,94.702782,85.287824,89.61954,126.274945,121.064302,102.549889,92.5578,85.955848,88.596629,124.316334,121.87731,103.325942,91.588818,84.511943,88.614025,129.379157,123.725055,98.780488,90.433693,88.3957,87.607641,125.543237,124.700665,96.274945,88.959866,88.406659,86.552894,137.472284,119.068736,90.022173,78.325766,89.337717,81.624132,123.281597,113.303769,104.43459,77.542926,87.422368,80.85173,114.929786,117.2949,110.938655,78.983352,83.749978,82.577458,118.569845,116.574279,108.980044,79.421742,85.642712,82.806221,117.827051,116.807095,112.372506,79.580398,84.555086,83.173112,116.407982,115.964523,117.738359,83.753458,89.410782,84.108345,116.186253,116.186253,120.509978,83.116748,87.605031,84.259694,114.855876,117.36881,120.768662,83.422925,86.220274,85.019919,117.184035,117.904656,120.011087,83.573404,86.869161,84.885966,116.363636,117.472284,120.088692,83.782684,85.991337,85.02479,up
